val_mse,mse,val_mae,mae
0.405985,0.417327,0.298094,0.301269
0.406291,0.417308,0.298387,0.301231
0.406191,0.417242,0.298245,0.301187
0.406197,0.417224,0.298252,0.301201
0.406258,0.417196,0.298365,0.301193
0.40636,0.417197,0.298478,0.301189
0.406337,0.417182,0.298433,0.301173
0.406488,0.417125,0.298474,0.301103
0.406562,0.417087,0.298633,0.301053
0.406515,0.417005,0.29857,0.301007
0.406593,0.416935,0.298626,0.300937
0.40635,0.41676,0.298434,0.300772
0.406248,0.416707,0.298358,0.300782
0.406281,0.416695,0.298302,0.300764
0.406278,0.416687,0.298295,0.300753
0.406285,0.41668,0.29828,0.300764
0.406364,0.416647,0.298482,0.300739
0.406377,0.416605,0.298495,0.300701
0.406263,0.416582,0.298409,0.300684
0.406355,0.416573,0.298501,0.300674
0.406262,0.416553,0.298452,0.300685
0.406082,0.416544,0.298258,0.300688
0.405965,0.416503,0.2982,0.300671
0.405976,0.416498,0.298247,0.300677
0.405929,0.416481,0.298216,0.300676
0.405797,0.416455,0.298175,0.300698
0.405659,0.416392,0.298053,0.300649
0.405622,0.416109,0.297927,0.300427
0.405449,0.416091,0.297773,0.300399
0.40517,0.416087,0.297549,0.300419
0.404863,0.416097,0.29727,0.300457
0.404979,0.416038,0.297363,0.300432
0.404926,0.415995,0.297283,0.300402
0.404816,0.415978,0.297253,0.300399
0.404904,0.415924,0.297368,0.300384
0.40483,0.415924,0.297287,0.300392
0.404805,0.415875,0.297252,0.300347
0.404875,0.415853,0.297305,0.30032
0.404915,0.415843,0.297446,0.300286
0.404862,0.415769,0.297314,0.300153
0.404817,0.415747,0.297211,0.300132
0.404767,0.41572,0.297181,0.300098
0.404816,0.415701,0.297235,0.30009
0.404861,0.41561,0.297367,0.299977
0.404861,0.415603,0.297367,0.299968
0.404891,0.415603,0.297399,0.299963
0.404815,0.415568,0.297359,0.299919
0.403711,0.415543,0.296147,0.299895
0.403756,0.415543,0.296196,0.29989
0.403761,0.415509,0.296256,0.299845
0.403481,0.415505,0.295942,0.299851
0.403481,0.415502,0.295988,0.29986
0.403329,0.415481,0.295835,0.29985
0.403312,0.415475,0.295795,0.299842
0.403192,0.415455,0.295663,0.299802
0.402986,0.415406,0.29551,0.299791
0.402714,0.415322,0.295275,0.299718
0.402701,0.415286,0.295381,0.299699
0.402652,0.415233,0.295356,0.299638
0.402616,0.415198,0.295286,0.299635
0.402588,0.415202,0.295256,0.299638
0.402629,0.415188,0.295279,0.299626
0.402683,0.415112,0.295329,0.299555
0.402466,0.415057,0.295167,0.29953
0.402319,0.415049,0.295,0.299542
0.402433,0.415051,0.295115,0.299528
0.402347,0.415049,0.295022,0.299535
0.402512,0.415044,0.295147,0.29953
0.402396,0.415042,0.295028,0.299544
0.402328,0.415039,0.29496,0.299551
0.402189,0.415011,0.294922,0.299539
0.402276,0.414959,0.295016,0.299465
0.40226,0.414581,0.294893,0.299128
0.402211,0.414581,0.294836,0.299133
0.40231,0.414524,0.294921,0.299067
0.402363,0.414524,0.294978,0.29906
0.402281,0.414513,0.294888,0.299036
0.402355,0.414504,0.295013,0.299048
0.40263,0.414494,0.295258,0.299004
0.402715,0.414488,0.295292,0.298994
0.40276,0.414473,0.295268,0.298976
0.402863,0.414409,0.295414,0.298977
0.40272,0.414395,0.295277,0.298983
0.402747,0.414395,0.295306,0.298977
0.402887,0.414385,0.295458,0.298967
0.40263,0.414364,0.295186,0.298942
