Valeur fonciere,Code departement,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Code commune,Surface terrain,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot
86000.0,42,0.0,1.0,140.0,5.0,289.0,1323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92800.0,40,0.0,1.0,22.0,2.0,187.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18410000.0,78,0.0,1.0,60.0,2.0,334.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128000.0,51,1.0,2.0,60.0,3.0,454.0,0.0,10.0,60.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291667.0,74,2.0,2.0,40.0,2.0,56.0,0.0,29.0,39.81,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473000.0,14,0.0,1.0,135.0,4.0,557.0,772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151556.0,33,1.0,2.0,21.0,1.0,522.0,0.0,64.0,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360000.0,45,0.0,2.0,70.0,3.0,53.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92000.0,53,0.0,1.0,66.0,2.0,68.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123000.0,28.0,0.0,1.0,163.0,6.0,4.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80000.0,40,0.0,1.0,65.0,3.0,149.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116000.0,13,2.0,2.0,79.0,4.0,211.0,0.0,1186.0,0.0,815.0,79.02,0.0,0.0,0.0,0.0,0.0,0.0
306100.0,34,2.0,2.0,60.0,3.0,301.0,0.0,11.0,52.14,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105000.0,77,2.0,2.0,31.0,2.0,284.0,0.0,41.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9400000.0,78,0.0,2.0,44.0,2.0,172.0,13245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390000.0,33,0.0,1.0,135.0,6.0,483.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209906.0,78,5.0,2.0,52.0,3.0,686.0,0.0,30.0,0.0,31.0,52.25,32.0,0.0,47.0,0.0,6.0,0.0
140000.0,76,0.0,1.0,71.0,3.0,522.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000.0,35,0.0,1.0,90.0,3.0,357.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160000.0,13,0.0,1.0,60.0,2.0,4.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237800.0,29.0,0.0,1.0,130.0,4.0,46.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294100.0,39,0.0,1.0,168.0,7.0,217.0,3772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135000.0,29.0,2.0,2.0,84.0,3.0,19.0,0.0,13.0,0.0,8.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0
145000.0,32,0.0,1.0,104.0,4.0,163.0,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73000.0,62,0.0,1.0,102.0,5.0,875.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185000.0,33,1.0,2.0,73.0,3.0,51.0,0.0,30.0,69.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223100.0,59,0.0,1.0,164.0,6.0,512.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,29.0,0.0,1.0,63.0,4.0,85.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113800.0,69,1.0,2.0,42.0,2.0,19.0,0.0,180.0,42.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311200.0,25.0,0.0,1.0,148.0,4.0,139.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55057080.0,30,0.0,2.0,61.0,3.0,307.0,1325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395000.0,76,0.0,1.0,126.0,5.0,481.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,29.0,0.0,1.0,98.0,5.0,19.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41581872.0,78,0.0,2.0,16.0,1.0,322.0,55716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122500.0,63,0.0,1.0,77.0,3.0,43.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126100.0,30,0.0,1.0,80.0,2.0,207.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47000.0,30,1.0,2.0,38.0,2.0,28.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690000.0,83,0.0,1.0,120.0,3.0,81.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123000.0,85,0.0,1.0,30.0,1.0,278.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210950.0,77,0.0,1.0,125.0,6.0,459.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198000.0,77,0.0,1.0,45.0,4.0,415.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47848340.0,22,0.0,2.0,57.0,3.0,50.0,7275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2285000.0,69,1.0,2.0,237.0,6.0,386.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119650.0,59,2.0,2.0,62.0,3.0,183.0,0.0,28.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170000.0,76,0.0,1.0,87.0,3.0,465.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54500.0,32,1.0,2.0,41.0,2.0,13.0,0.0,10.0,41.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196000.0,62,0.0,1.0,100.0,3.0,158.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160000.0,44,2.0,2.0,55.0,3.0,109.0,0.0,122.0,54.81,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140000.0,30,0.0,1.0,84.0,4.0,294.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276000.0,33,1.0,2.0,61.0,2.0,39.0,0.0,2.0,61.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,49,0.0,2.0,70.0,3.0,301.0,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123000.0,44,2.0,2.0,66.0,3.0,109.0,0.0,180.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163100.0,49,0.0,1.0,138.0,6.0,301.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170000.0,6,2.0,2.0,41.0,2.0,88.0,0.0,59.0,0.0,81.0,36.52,0.0,0.0,0.0,0.0,0.0,0.0
219000.0,78,1.0,1.0,85.0,4.0,490.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49800.0,85,0.0,1.0,86.0,4.0,215.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212510.0,1,0.0,1.0,85.0,4.0,443.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43000.0,82,0.0,2.0,100.0,2.0,33.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57000.0,63,0.0,1.0,162.0,4.0,21.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,56,0.0,1.0,45.0,2.0,100.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11656835.0,83,0.0,1.0,250.0,6.0,101.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158000.0,2,0.0,1.0,142.0,6.0,245.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237000.0,76,0.0,2.0,61.0,3.0,259.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,72,0.0,2.0,51.0,2.0,3.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203000.0,83,0.0,1.0,30.0,2.0,129.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387000.0,13,0.0,1.0,93.0,4.0,110.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80000.0,13,1.0,2.0,44.0,2.0,204.0,0.0,7.0,48.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390000.0,44,0.0,1.0,140.0,5.0,135.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
